Year,State,Beverage Type,Beverage Gallon,Ethanol Gallon,Population(>14),Average(>14),Decile(>14),Population(>21),Average(>21),Decile(>21),Source,ABV,Ethanol by ABV
1971,Connecticut,All Beverages,,6398645,2279133,28075,4.0,1894979,33766,4.0,,,
1971,Delaware,Spirits,1579000.0,710550,410808,17296,2.0,333058,21334,2.0,,,
1971,Delaware,Wine,604000.0,96640,410808,2352,6.0,333058,2902,6.0,,,
1971,Delaware,Beer,10948000.0,492660,410808,11992,5.0,333058,14792,5.0,,,
1971,Delaware,All Beverages,,1299850,410808,31641,2.0,333058,39028,2.0,,,
1971,District,Spirits,5707000.0,2568150,580669,44227,1.0,486960,52738,1.0,,,
1971,District,Wine,3288000.0,526080,580669,9060,1.0,486960,10803,1.0,,,
1971,District,Beer,17597000.0,791865,580669,13637,2.0,486960,16261,3.0,,,
1971,District,All Beverages,,3886095,580669,66924,1.0,486960,79803,1.0,,,
1971,Florida,Spirits,18414000.0,8286300,5493340,15084,2.0,4624502,17918,2.0,,,
1971,Florida,Wine,11174000.0,1787840,5493340,3255,4.0,4624502,3866,4.0,,,
1971,Florida,Beer,143345000.0,6450525,5493340,11742,6.0,4624502,13949,6.0,,,
1971,Florida,All Beverages,,16524665,5493340,30081,2.0,4624502,35733,3.0,,,
1971,Georgia,Spirits,8185000.0,3683250,3423114,10760,5.0,2770797,13293,5.0,,,
1971,Georgia,Wine,2636000.0,421760,3423114,1232,9.0,2770797,1522,9.0,,,
1971,Georgia,Beer,64879000.0,2919555,3423114,8529,9.0,2770797,10537,9.0,,,
1971,Georgia,All Beverages,,7024565,3423114,20521,8.0,2770797,25352,8.0,,,
1971,Hawaii,Spirits,1200000.0,540000,582518,9270,7.0,470301,11482,7.0,,,
1971,Hawaii,Wine,1332000.0,213120,582518,3659,4.0,470301,4532,3.0,,,
1971,Hawaii,Beer,14725000.0,662625,582518,11375,7.0,470301,14089,6.0,,,
1971,Hawaii,All Beverages,,1415745,582518,24304,6.0,470301,30103,6.0,,,
1971,Idaho,Spirits,910000.0,409500,535331,7649,8.0,427904,9570,8.0,,,
1971,Idaho,Wine,863000.0,138080,535331,2579,5.0,427904,3227,5.0,,,
1971,Idaho,Beer,14883000.0,669735,535331,12511,4.0,427904,15652,4.0,,,
1971,Idaho,All Beverages,,1217315,535331,22739,7.0,427904,28448,6.0,,,
1971,Illinois,Spirits,25466000.0,11459700,8294983,13815,3.0,6838832,16757,3.0,,,
1971,Illinois,Wine,16297000.0,2607520,8294983,3143,5.0,6838832,3813,5.0,,,
1971,Illinois,Beer,224559000.0,10105155,8294983,12182,5.0,6838832,14776,5.0,,,
1971,Illinois,All Beverages,,24172375,8294983,29141,3.0,6838832,35346,3.0,,,
1971,Indiana,Spirits,5825000.0,2621250,3845030,6817,10.0,3126082,8385,10.0,,,
1971,Indiana,Wine,3210000.0,513600,3845030,1336,9.0,3126082,1643,9.0,,,
1971,Indiana,Beer,85908000.0,3865860,3845030,10054,8.0,3126082,12366,8.0,,,
1971,Indiana,All Beverages,,7000710,3845030,18207,9.0,3126082,22395,9.0,,,
1971,Iowa,Spirits,3335000.0,1500750,2114128,7099,9.0,1728873,8681,9.0,,,
1971,Iowa,Wine,957000.0,153120,2114128,724,10.0,1728873,886,10.0,,,
1971,Iowa,Beer,51902000.0,2335590,2114128,11048,7.0,1728873,13509,7.0,,,
1971,Iowa,All Beverages,,3989460,2114128,18870,8.0,1728873,23075,9.0,,,
1971,Kansas,Spirits,2598000.0,1169100,1692630,6907,10.0,1383160,8452,10.0,,,
1971,Kansas,Wine,1080000.0,172800,1692630,1021,9.0,1383160,1249,10.0,,,
1971,Kansas,Beer,33646000.0,1514070,1692630,8945,9.0,1383160,10946,9.0,,,
1971,Kansas,All Beverages,,2855970,1692630,16873,10.0,1383160,20648,10.0,,,
1971,Kentucky,Spirits,4664000.0,2098800,2438236,8608,8.0,1978745,10607,8.0,,,
1971,Kentucky,Wine,1516000.0,242560,2438236,995,10.0,1978745,1226,10.0,,,
